epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0789,1.05519,2.03278,1.12602,0.79777,0.69302,0.80956,0.58981,0.95816,1.26074,1.12774,0.000415264,0.000415264,0.000415264
2,136.415,1.05927,1.1982,1.11174,0.86618,0.79304,0.89067,0.64717,0.98074,0.93339,1.11983,0.000815458,0.000815458,0.000815458
3,185.151,1.03936,1.0215,1.10546,0.88459,0.79537,0.88593,0.654,0.93476,0.871,1.11121,0.00119915,0.00119915,0.00119915
4,233.487,1.01833,0.92583,1.09115,0.8206,0.80575,0.88041,0.64743,0.94543,0.87849,1.09163,0.00117575,0.00117575,0.00117575
5,301.601,0.99706,0.84804,1.08761,0.8179,0.83461,0.9049,0.67607,0.90927,0.77728,1.0981,0.001151,0.001151,0.001151
6,374.816,0.9774,0.80373,1.0771,0.84516,0.81809,0.88616,0.6555,0.95804,0.83262,1.10571,0.00112625,0.00112625,0.00112625
7,421.54,0.94545,0.75367,1.06225,0.91305,0.83895,0.91999,0.68875,0.89241,0.69346,1.08049,0.0011015,0.0011015,0.0011015
8,474.054,0.9406,0.72859,1.05666,0.88827,0.88968,0.92209,0.71003,0.87358,0.64736,1.06606,0.00107675,0.00107675,0.00107675
9,553.664,0.93337,0.71222,1.06132,0.90438,0.87686,0.93002,0.70926,0.86033,0.63727,1.05387,0.001052,0.001052,0.001052
10,635.293,0.9122,0.68636,1.0498,0.8927,0.85852,0.93421,0.72091,0.85482,0.65595,1.04928,0.00102725,0.00102725,0.00102725
11,705.22,0.90857,0.6589,1.04664,0.93043,0.88529,0.94149,0.72478,0.85266,0.58255,1.04969,0.0010025,0.0010025,0.0010025
12,785.972,0.89553,0.64998,1.04076,0.90894,0.89855,0.95191,0.72517,0.85485,0.57333,1.05033,0.00097775,0.00097775,0.00097775
13,863.92,0.89426,0.64213,1.03853,0.92858,0.90262,0.94651,0.73592,0.83597,0.56278,1.03225,0.000953,0.000953,0.000953
14,946.09,0.88541,0.62366,1.03723,0.92896,0.90199,0.94945,0.74318,0.81212,0.55497,1.02325,0.00092825,0.00092825,0.00092825
15,1026.56,0.88115,0.61684,1.03257,0.93599,0.9166,0.95086,0.74814,0.81303,0.51863,1.01676,0.0009035,0.0009035,0.0009035
16,1104.31,0.86681,0.62154,1.03002,0.93044,0.92335,0.95129,0.74972,0.8059,0.53811,1.0158,0.00087875,0.00087875,0.00087875
17,1190.13,0.86906,0.59809,1.02946,0.90654,0.8702,0.93481,0.72701,0.83126,0.5752,1.03701,0.000854,0.000854,0.000854
18,1274.23,0.87704,0.61885,1.02927,0.92358,0.91208,0.95521,0.75048,0.80456,0.50792,1.02834,0.00082925,0.00082925,0.00082925
19,1357.04,0.8568,0.57276,1.02396,0.93769,0.91639,0.95627,0.7404,0.82976,0.50922,1.04058,0.0008045,0.0008045,0.0008045
20,1439.61,0.85398,0.57708,1.0201,0.93661,0.92565,0.95607,0.75171,0.79577,0.506,1.0209,0.00077975,0.00077975,0.00077975
21,1520.39,0.83694,0.55911,1.01499,0.95189,0.93572,0.96427,0.76696,0.78199,0.47599,1.01368,0.000755,0.000755,0.000755
22,1600.61,0.83665,0.56677,1.02169,0.94271,0.91022,0.95834,0.76915,0.77936,0.50241,1.0203,0.00073025,0.00073025,0.00073025
23,1681.93,0.83308,0.5495,1.01654,0.93018,0.9427,0.9631,0.76652,0.78656,0.46581,1.00833,0.0007055,0.0007055,0.0007055
24,1762.9,0.81401,0.5352,1.00739,0.93167,0.91532,0.9557,0.76529,0.79522,0.493,1.00866,0.00068075,0.00068075,0.00068075
25,1841.32,0.81829,0.52818,1.00899,0.95601,0.90767,0.96013,0.76946,0.79087,0.48437,1.01426,0.000656,0.000656,0.000656
26,1923.52,0.81688,0.53628,1.00771,0.94755,0.92053,0.96017,0.77522,0.76516,0.46297,0.99718,0.00063125,0.00063125,0.00063125
27,2004.32,0.8146,0.52105,1.00401,0.94511,0.92646,0.95922,0.77121,0.79154,0.45386,1.01179,0.0006065,0.0006065,0.0006065
28,2083.96,0.79604,0.51305,0.99895,0.9575,0.91153,0.96056,0.76599,0.78082,0.46042,1.01287,0.00058175,0.00058175,0.00058175
29,2162.07,0.81012,0.50873,1.00658,0.94511,0.9312,0.96233,0.7743,0.77603,0.45471,1.00573,0.000557,0.000557,0.000557
30,2233.77,0.79518,0.50397,0.99579,0.94671,0.92888,0.96093,0.77712,0.77643,0.44108,1.0047,0.00053225,0.00053225,0.00053225
31,2295.67,0.78535,0.49448,0.99698,0.95326,0.91467,0.96382,0.77858,0.76908,0.44342,0.9959,0.0005075,0.0005075,0.0005075
32,2358.17,0.79471,0.48947,0.99774,0.93633,0.92593,0.95746,0.77594,0.76453,0.46223,0.99194,0.00048275,0.00048275,0.00048275
33,2405.31,0.78648,0.49125,0.99241,0.96093,0.9248,0.96125,0.78277,0.76566,0.43547,0.99047,0.000458,0.000458,0.000458
34,2489.13,0.7721,0.48215,0.99148,0.96437,0.92657,0.96309,0.78144,0.76602,0.42899,0.99897,0.00043325,0.00043325,0.00043325
35,2559.56,0.76585,0.47361,0.98353,0.95437,0.92821,0.96162,0.78221,0.76017,0.42939,0.9854,0.0004085,0.0004085,0.0004085
36,2623.73,0.76056,0.46557,0.98465,0.93878,0.94032,0.96096,0.78088,0.76638,0.42656,0.99018,0.00038375,0.00038375,0.00038375
37,2710.71,0.76067,0.46185,0.97962,0.95681,0.92258,0.96087,0.7853,0.7714,0.41765,1.00306,0.000359,0.000359,0.000359
38,2798.1,0.75602,0.45528,0.98162,0.95204,0.91671,0.96123,0.77296,0.78495,0.43691,1.00346,0.00033425,0.00033425,0.00033425
39,2876.98,0.75389,0.465,0.9774,0.9655,0.92053,0.95845,0.78883,0.77141,0.43096,0.99754,0.0003095,0.0003095,0.0003095
40,2956.35,0.74503,0.45081,0.97554,0.9641,0.91983,0.95393,0.77935,0.77514,0.43119,0.99553,0.00028475,0.00028475,0.00028475
41,3080.24,0.71619,0.402,0.94459,0.96131,0.9245,0.9609,0.78349,0.75134,0.41568,0.99108,0.00026,0.00026,0.00026
42,3169.37,0.70026,0.40333,0.93765,0.95945,0.92332,0.95975,0.78431,0.75164,0.42428,0.98582,0.00023525,0.00023525,0.00023525
43,3251.93,0.69244,0.38111,0.93891,0.97228,0.92593,0.9616,0.78698,0.75093,0.40987,0.98856,0.0002105,0.0002105,0.0002105
44,3328.25,0.68788,0.38756,0.93536,0.95536,0.93759,0.96222,0.78834,0.75296,0.40544,0.99381,0.00018575,0.00018575,0.00018575
45,3400.17,0.68443,0.37474,0.93298,0.95713,0.9364,0.96003,0.79583,0.75002,0.39473,0.9859,0.000161,0.000161,0.000161
46,3471.4,0.67914,0.36853,0.932,0.94768,0.94797,0.96656,0.79814,0.74572,0.39175,0.98643,0.00013625,0.00013625,0.00013625
47,3541.63,0.67227,0.35726,0.9235,0.96048,0.93498,0.96129,0.79287,0.75358,0.39066,0.99163,0.0001115,0.0001115,0.0001115
48,3610.04,0.66072,0.35031,0.92219,0.96302,0.93272,0.96322,0.79443,0.74322,0.38675,0.98501,8.675e-05,8.675e-05,8.675e-05
49,3680.34,0.65883,0.34968,0.91719,0.96113,0.93366,0.96233,0.79562,0.75229,0.38409,0.98819,6.2e-05,6.2e-05,6.2e-05
50,3731.32,0.64478,0.3411,0.91664,0.96899,0.93189,0.96132,0.7988,0.74371,0.38376,0.98794,3.725e-05,3.725e-05,3.725e-05
